year	timestamp	author	kind	content
2020	2020-04-19T15:13:57.993+00:00	maszko	general	ak pouzivate broadcast na rozoslanie, davate ho do komunikacneho protokolu?
2020	2020-04-19T16:51:48.112+00:00	lukashino	pain	ale podla fora by si mohol aj Allgather prip Broadcast
2020	2020-06-06T07:16:39.856+00:00	altaon19	general	Urcite se na ne nikdo nemuze zeptat v ramci otazky Distribuovaný broadcast, synchronizace v distribuovaných systémech?
2020	2020-06-08T16:58:12.17+00:00	betsst	algo	**Polsemka** 1. Uplne prepojenie topologia 6 uzlov - diagram, konektivita, bisekcia 2. Ktore z uvedený dvojic algoritmov su optimalne (pipeline merge, od even transposition a odd even merge sort myslim) 3. PRAM - ma/nema zdielane/lokalne pamati 4. Popis redukcnych pc **Test** 1. I cena alg ktory zoradi, II cena ktory zisti ci je nejaky zhodny, III casova ...
2020	2020-06-09T11:35:11.627+00:00	burned2854	general	Já to řešil jinak, našel jsem přes redukce minimum i maximum, to jsem rozeslal všem prvkům přes broadcast, pak všechny prvky porovnaly, jestli num != max && num != min && min != max a pak přes reduce s logickým OR jsem získal výsledek, ale teď si nejsem jistý, jestli v tom taky není nějaký zádrhel 😄
2021	2021-05-08T13:34:47.897+00:00	peter8888	general	OpenMPI vie aj broadcast? :PepeLa:
2021	2021-05-08T13:35:25.149+00:00	dify	general	mám tam broadcast a 7b :VUTrtzW:
2021	2021-05-08T13:35:48.184+00:00	peter8888	general	akoze mam 7bodov a nemam broadcast
2021	2021-05-09T14:42:16.707+00:00	matt_3651	pain	Nevie niekto co chcel autor povedat tymto obrazkom pre broadcast? :peepoThink:
2021	2021-05-09T15:42:06.321+00:00	tomas238	general	oh, asi cez reduce spocitat priemer, cez broadcast ho poslat kazdemu procesu, kazdy proces na svojom indexe podla svojho ranku zmeni cislo na 0 ak < priemer, spravi sa znova reduce
2021	2021-05-10T15:28:09.392+00:00	betsst	property	1.- cena XOR -casova zlozitost OR - cena suctu? maxima a minima 2. test &set 3. kauzalita 4. Euler tah -suffix? 5. R-A 6. Euler strom/graf? 7. Carry look ahead add - spocitat 39 a 110 8. naprogramovat s logickou zlozitostou sucet hodnot nez vacsich nez priemer? ----- ak si niekto pamata viac taaak doplniiim :peepoHappy:
2021	2021-05-10T16:46:28.124+00:00	ishanka	property,pain	ale tak rip A, mozna jeste kapne B, kdyz zavre oci u kauzality :VUTrtzW:
2021	2021-05-13T18:40:10.174+00:00	eitary	general	vyšlu broadcast
2021	2021-05-24T20:07:17.888+00:00	adhades	general	no a jestli vždy bude N=n, tak si stačí zapamatovat ty časový složitosti, teda - CRCW Nějaká operace se všemi prvky: log n Nalezení jednoho prvku: const. \_ \_EW Nějaká operace se všemi prvky: log n Nalezení jednoho prvku: log n CR\_ \_ Broadcast: const. ER\_ \_ Broadcast: log n
2021	2021-05-24T21:43:59.111+00:00	chichin	property,pain	linda, occam, suzuki, meakow, marzul,broadcast abcast, takove ty sipecky co ani uz nevim k cemu to bylo...
2021	2021-05-25T12:40:56.447+00:00	rockstar1337	property	já třeba neviděl probranou kauzalitu
2021	2021-05-25T13:14:18.28+00:00	sedmicha	general	můžou být v if root, jde jen o to že tu funkci musí zavolat všechny procesy, takže bys ten broadcast musel mít v if i else branchi, ale v každým z nich ho můžeš volat jinak
2021	2021-05-25T19:43:22.804+00:00	chichin	property	to ma byt "FIFA" nebo FIFO
2021	2021-05-25T21:36:11.54+00:00	plech0	property	tusi niekto ako funguje ten ABCAST?
2021	2021-05-26T10:18:10.207+00:00	francze	general	MPI 10, Pi kalkul 10, tipovačka 6, broadcast 10, scan 10, algo 0 a jsem za vodou :ez:
2021	2021-05-26T10:18:47.231+00:00	jnc_me	general	dúfam že to je ten PRAM broadcast :HAhaaVUT:
2021	2021-06-07T13:28:39.224+00:00	eitary	general	ten příkaz Broadcast takhle v IFu fungovat nebude
2021	2021-06-07T13:29:05.415+00:00	_ls.d_	general	broadcast musia urobit vseci
2021	2021-06-09T07:31:03.018+00:00	_ls.d_	property	ako sa FIFO vsesmer lisi od Kauzal vsesmer?
