year	timestamp	author	kind	content
2020	2020-06-04T13:45:09.906+00:00	brum_barnum	general	@BuRneD v tych dodatkech nejsú nejaké nové veci... ale v tomto roce tam není ADA, LINDA a OCCAM len zmínení ako som videl
2020	2020-06-04T14:28:35.354+00:00	dominikharmim	syntax	@Brum Jak víš, že nebude ADA, LINDA ani OCCAM?
2020	2020-06-04T15:32:23.308+00:00	lgtm	syntax	> @Brum Jak víš, že nebude ADA, LINDA ani OCCAM? @Dominik Harmim min rok sa preberalo ale neskusalo
2020	2020-06-06T12:14:21.054+00:00	maszko	syntax	ucite sa aj ten OCCAM?
2020	2020-06-08T12:01:14.6+00:00	brum_barnum	general	Semestralka: pram, Occam, mpi počet čísel vetsi než priemer, random mating, Euler tour preorder, monitor
2020	2020-06-08T23:47:55.103+00:00	dominikharmim	general	Zbořil nám to chtěl ulehčit, tak tam místo PI-kalkulu, který prý minulý rok dopadl hrozně, dal OCCAM a Lindu. Ale tento krok nikdo nečekal 😀.
2021	2021-04-18T15:14:53.773+00:00	betsst	general	a avg sa vypočuta
2021	2021-05-01T15:58:42.596+00:00	rys8515	syntax	Skupinovy uz je poslany, ale asi len s par loginmi
2021	2021-05-02T11:56:56.125+00:00	ishanka	syntax	ok, noice, diki, opravila jsem par veci ve vystupu a uz to asi funguje :peepoHappy:
2021	2021-05-03T09:21:17.199+00:00	jurajholub	syntax,resource	Zboril na prednakse 10 vravel, ze v dokumentovem skladu ma byt nejaky dokument k jayzuku OCCAM čo si máme prejsť na skúšku. Našiel niekto ten dokument? Lebo ja nie🤷‍♂️
2021	2021-05-07T17:40:17.079+00:00	ankimme	syntax	pi kalkul je skip?
2021	2021-05-08T13:34:04.905+00:00	betsst	exam,syntax,resource	**SKÚŠKA** **MATERIALY** :hmmNote: · https://uloz.to/file/aV4YioMFCCMi/prl-zip · 19/20 guide https://docs.google.com/document/d/1lB_J22vzQl9gUAc37FB1VYIeg-SfflO5wE1qi9BagvM/edit?usp=sharing · (stary guide) https://docs.google.com/document/d/1J_OnojfTBRs00tPBxZVS7PNNPFBirmC8xv_bpyKw6Mw/ · nejaky guide (top výber za mňa) https://docs.google.com/document/d/1...
2021	2021-05-08T13:59:53.896+00:00	ishanka	syntax	par tabulek a done
2021	2021-05-08T15:03:06.926+00:00	eitary	syntax	stop shitpost
2021	2021-05-08T16:23:21.884+00:00	betsst	syntax,resource	OCCAM shit je na wiki https://wis.fit.vutbr.cz/FIT/st/cwk.php.cs?title=Texty&csid=708190&id=13467
2021	2021-05-08T20:04:29.83+00:00	kateriska	syntax	byzantské jsou skip, i když je na konci přednášky dělal :okayChamp:
2021	2021-05-08T20:07:02.775+00:00	matt_3651	syntax	Takze to je skip 30 slidov ku konci aspon nieco
2021	2021-05-08T21:12:46.11+00:00	ishanka	syntax	on bude zkouset i ten occam?
2021	2021-05-09T19:46:57.988+00:00	ishanka	syntax	proto stop
2021	2021-05-09T19:47:10.641+00:00	kateriska	syntax	jo stop je tam vždy default
