year	timestamp	author	kind	content
2020	2020-06-01T06:42:34.058+00:00	.qbasty	general	Neví někdo kde (ve které přednášce) se nachází Pi-kalkul? Nikde jsem to neviděl ale bylo to minulý rok na semestrálce.
2020	2020-06-04T15:32:43.986+00:00	lgtm	general	Suzuki, Pi kalkul, a take
2020	2020-06-04T15:33:08.96+00:00	brum_barnum	general	A teraz je pi kalkul niekde? (V nových)
2020	2020-06-04T15:43:43.286+00:00	lgtm	general	Ten pi kalkul na skuske bola picovina
2020	2020-06-05T07:49:07.056+00:00	zazdam	resource	> A teraz je pi kalkul niekde? (V nových) @Brum včera pridal do súborov prednášku PDA10Modely_slidy.pdf a na wiki je ešte toto: https://wis.fit.vutbr.cz/FIT/st/cwk.php.cs?title=Texty&csid=695145&id=13467
2020	2020-06-05T11:44:15.318+00:00	mitches_	general	nemate někdo spočítany ten příklad na PI-kalkul z minuleho roku?
2020	2020-06-05T11:47:04.305+00:00	lgtm	general	Pi kalkul otazka dopadla uplne hrozne
2020	2020-06-05T13:23:06.683+00:00	kioleto	resource	Neviete, ci v tych dostupnych videozaznamoch je Pi-Kalkul, pripadnej v ktorej prednaske z nich?
2020	2020-06-05T15:01:51.696+00:00	dominikharmim	general	@Mitches Tohle je mimochodem ten PI-calculus. Jsou to body zdarma, když pochopíš, jak ten calulus funguje.
2020	2020-06-05T15:34:21.859+00:00	c_alva_d.osb_ea_u	resource	myslíte že tam letos pi kalkul bude? v slajdech k tomu nic neni jestli jsem hledal dobře :mikeWTF: (ctrl+f "pi kal" "pi cal" "pi-cal")
2020	2020-06-05T15:44:57.835+00:00	zazdam	resource	> myslíte že tam letos pi kalkul bude? v slajdech k tomu nic neni jestli jsem hledal dobře :mikeWTF: (ctrl+f "pi kal" "pi cal" "pi-cal") @c_alva_d.osb_ea_u https://wis.fit.vutbr.cz/FIT/st/cfs.php.cs?file=%2Fcourse%2FPRL-IT%2Flectures%2FPDA10Modely_slidy.pdf&cid=13467 včera pridané do dokumentov
2020	2020-06-06T20:41:11.143+00:00	whirduster	general	> @Mitches Tohle je mimochodem ten PI-calculus. Jsou to body zdarma, když pochopíš, jak ten calulus funguje. @Dominik Harmim Jak se prosím tě určujou ty pozorování? Je to prostě šipka dolů pro každou "komunikaci"? Kde se ti v tom druhém řádku vzalo v těch komunikacích to `c`? :thonk:
2020	2020-06-08T04:43:28.183+00:00	peeth	resource	Pi calculus vysvetlený naozaj pochopitelne, keby ste niekto tomu stále nechápali. https://www.doc.ic.ac.uk/~yoshida/slides/lectures/NY_PI_15_16.pdf
2020	2020-06-08T23:47:55.103+00:00	dominikharmim	general	Zbořil nám to chtěl ulehčit, tak tam místo PI-kalkulu, který prý minulý rok dopadl hrozně, dal OCCAM a Lindu. Ale tento krok nikdo nečekal 😀.
2021	2021-05-03T20:01:30.783+00:00	yuminone	resource	až někdo bude chtít nějáký dobrý video kde vysvětluje Pi calculus https://www.youtube.com/watch?v=NTJBMbTIJis
2021	2021-05-07T17:40:17.079+00:00	ankimme	general	pi kalkul je skip?
2021	2021-05-07T17:41:55.076+00:00	betsst	general	minuly rok dal pi kalkul na jednom termine v haskelli
2021	2021-05-07T17:47:33.093+00:00	peter8888	general	chvilu som rozmyslal ze ci aj tu bol pi kalkul :PepeLa:
2021	2021-05-07T17:48:49.309+00:00	tomas238	general	sak pi kalkul je z PRL
2021	2021-05-07T17:55:28.071+00:00	ankimme	general	jop myslel jsem pi kalkul z prl, vypadá to jako mnohem větší cancer než lambda :PepeLa:
2021	2021-05-07T17:57:15.221+00:00	ankimme	reduction,resource	v docu z uloz.to se vyskytuje tohle: Pi kalkul - redukovat vyraz a napisat pozorovania
2021	2021-05-07T17:57:44.29+00:00	yuminone	general	Jako podle mě jsou tu vetší bobky než pi kalkul :HAhaaVUT: hlavně některý ty algoritmy (jestli se má cenu je učit všechny nebo jenom ty co už někdy byli)
2021	2021-05-07T17:59:03.21+00:00	yuminone	resource	Já si stejně myslím že tam dá klasiku PRAM, MPI, pi kalkul a pak to je jinej random spíš se bojím že tam dá to co přidal do posledního slajdu tento rok
2021	2021-05-08T17:33:43.625+00:00	tomas238	general	nechapem naco robi ten pi-kalkul
2021	2021-05-08T21:15:14.059+00:00	dify	general	a pi kalkul taky :VUTrtzW:
2021	2021-05-09T15:17:39.171+00:00	jakubman	resource	<https://www.youtube.com/watch?v=NTJBMbTIJis> Na pi kalkul je dobré tohle video.. Na to, co bylo na semestrálce, stačí první půl hodiny...
2021	2021-05-09T16:10:05.139+00:00	eitary	general	o čem je sakra ten pi-kalkul
2021	2021-05-09T16:15:18.823+00:00	sevin556	reduction,resource	ako funguje to pozorovanie pri pi kalkule? zo slajdov som hovno pochopil :PepeHands:
2021	2021-05-09T16:22:36.39+00:00	tomas238	reduction	v pi kalkule sa robia tie redukcie takto: procesy su oddelene pomocou |, ak najdes x<n> (s ciarkou nad x) na zaciatku procesu a x(y) na zaciatku ineho procesu, napr P, tak mozes oba zmazat a v P prepises y na n
2021	2021-05-09T16:35:55.171+00:00	dify	reduction	well, musíš znát ty znaky z pi kalkulu :VUTrtzW: hlavně on tam chce redukce v průběhu :haHHAA: to je horší se nesplést
2021	2021-05-09T16:37:42.222+00:00	rockstar1337	general	Stream na pi kalkul gde? :PU_peepoRiot:
2021	2021-05-09T17:43:38.458+00:00	xxmajklxx.	general	má niekto nejaké vypočítané príklady na `PI-kalkul`?
2021	2021-05-10T00:03:30.757+00:00	rockstar1337	general	Kdo tady baitil, ze pi kalkul je jednoduchý? :mikeWTF:
2021	2021-05-10T00:04:59.125+00:00	vyzigold	exam	takze kdyz se naucim pi kalkul, tak mam pulku FLP zkousky zmaknutou? :feelsWowMan:
2021	2021-05-10T09:56:01.45+00:00	danik9665	reduction	mate nekdo rezepsanou tu redukci pi-kalkulu a mohli byste ji sem hodit ? :feelsWowMan:
2021	2021-05-10T12:29:53.567+00:00	yuminone	general	Pi kalkul je jediný pi co umím
2021	2021-05-10T12:30:36.762+00:00	rockstar1337	general	pi kalkul bude v pohodě, pokud tam nedá nějaký hoga foga, MPI by se taky dalo, musíš mít štěstí na tipovačku na začátku a potom psát random shity a třeba to dáš :HAhaa:
2021	2021-05-10T12:31:34.828+00:00	ishanka	general	kdyz bude v pi kalkulu jeden output a dva matchujici inputy
2021	2021-05-10T12:49:15.203+00:00	vyzigold	reduction	jakym zpusobem zjistim u PI kalkulu ty "pozorovani"
2021	2021-05-10T12:56:02.526+00:00	_ls.d_	general	btw co vlastne znamena ta ciarka nad channelom v pi kalkule
2021	2021-05-10T17:01:15.244+00:00	ishanka	general	jn, mel tam dat pi kalkul
